Call,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
CN8YR,13,0,3,6,2,6,2,0
CO2AME,5,0,0,0,5,0,0,0
CO2JD,26,0,26,0,0,0,0,0
CO2RQ,35,0,5,20,14,13,2,0
CO2YQ,22,0,0,12,11,0,0,0
CO6RD,26,0,0,26,0,0,0,0
CO7RR,6,0,0,6,0,0,0,0
CO8OH,19,0,9,11,0,0,0,0
CP6UA,4,0,0,0,1,3,0,0
CR2M,27,0,0,0,0,27,0,0
CR3OO,48,8,24,27,27,24,3,0
CR3W,48,27,31,40,26,23,11,0
CR5SSB,33,0,0,17,12,15,5,0
CR5T,45,0,18,26,21,15,5,0
CR6K,45,12,23,26,28,22,6,0
CT1AGS,19,4,2,13,3,2,1,0
CT1BQH,14,0,1,6,7,5,1,0
CT1DBS,17,2,2,14,5,1,1,0
CT1DJE,15,0,1,7,2,5,3,0
CT1ELZ,17,0,5,9,7,4,1,0
CT1GFQ,18,0,0,8,8,9,4,0
CT1ZQ,11,0,0,11,0,0,0,0
CT3FW,16,0,0,0,16,0,0,0
CT3KN,34,1,1,14,15,15,6,0
CT7AIX,12,0,0,0,1,12,0,0
CT7AJL,47,5,11,24,28,13,1,0
CT8/W6NV,2,0,0,0,2,0,0,0
CT9/9A2KD,10,10,0,0,0,0,0,0
CT9/9A3XV,25,0,25,0,0,0,0,0
CT9/9A4M,8,0,0,0,0,0,8,0
CT9/OK6RA,42,0,0,42,0,0,0,0
CT9/OL3R,32,0,0,0,32,0,0,0
CT9/OL9R,1,0,0,0,0,1,0,0
CT9/OM3BH,39,0,0,39,0,0,0,0
CT9/OM3GI,36,0,0,0,36,0,0,0
CT9/OM3RM,22,0,0,0,0,22,0,0
CT9/R7KW,48,9,15,22,17,14,5,0
CT9/SM7RYR,11,0,0,0,10,6,5,0
CU2AP,3,0,2,3,0,0,0,0
CU4DX,43,0,0,43,0,0,0,0
CU8AS,24,7,6,8,3,6,2,0
CW4MAX,37,0,0,0,0,37,0,0
CW5W,48,14,17,19,35,35,14,0
CX4SS,21,1,0,7,6,13,2,0
CX5UA,25,1,1,6,8,13,2,0
CX7RT,9,0,0,0,0,9,0,0
CX9AU,27,0,2,8,7,12,9,0
D1A,4,0,0,2,2,0,0,0
D1CTT,21,0,0,10,8,5,0,0
D1DX,47,2,14,21,17,9,1,0
D1M,14,0,14,0,0,0,0,0
DA0AA,14,4,6,12,3,1,0,0
DA0T,1,0,0,0,0,0,1,0
DA0WRTC,47,22,34,43,25,16,7,0
DA3T,39,14,20,26,15,14,4,0
DB0RC,32,4,10,12,14,3,0,0
